example_name,config_index,num_reads,num_sweeps,seed,run_time_s,best_energy_run,success_prob,tts_target_conf,is_solution_best
hypergraph_not_selfdual_2025_09_29_18_45_27_8_0,1,10000,20,0,0.049408916966058314,,0.0202,11.150026575105105,
hypergraph_not_selfdual_2025_09_29_18_45_27_8_0,2,10000,100,0,0.19162625004537404,,0.0382,22.657248061155546,
hypergraph_not_selfdual_2025_09_29_18_45_27_8_0,3,10000,200,0,0.3716770840110257,,0.0483,34.57472392774962,
hypergraph_not_selfdual_2025_09_29_18_45_28_8_1,0,10000,5,0,0.022131916950456798,,0.0239,4.2133211224801,
hypergraph_not_selfdual_2025_09_29_18_45_28_8_1,1,10000,20,0,0.047948834020644426,,0.0206,10.608266094754871,
hypergraph_not_selfdual_2025_09_29_18_45_28_8_1,2,10000,100,0,0.19279641599860042,,0.0367,23.745682392667216,
hypergraph_not_selfdual_2025_09_29_18_45_28_8_1,3,10000,200,0,0.37159045797307044,,0.0429,39.027110091600065,
hypergraph_not_selfdual_2025_09_29_18_45_29_9_0,0,10000,5,0,0.03701820794958621,,0.0169,10.001807129204526,
hypergraph_not_selfdual_2025_09_29_18_45_29_9_0,1,10000,20,0,0.07593204209115356,,0.0131,26.517903725946677,
hypergraph_not_selfdual_2025_09_29_18_45_29_9_0,2,10000,100,0,0.2975796670652926,,0.0129,105.54626129671094,
hypergraph_not_selfdual_2025_09_29_18_45_29_9_0,3,10000,200,0,0.577049957937561,,0.0106,249.36829781286394,
hypergraph_not_selfdual_2025_09_29_18_45_30_9_1,0,10000,5,0,0.03640616696793586,,0.0093,17.94363198970366,
hypergraph_not_selfdual_2025_09_29_18_45_30_9_1,1,10000,20,0,0.08200549997854978,,0.0111,33.8332820610484,
hypergraph_not_selfdual_2025_09_29_18_45_30_9_1,2,10000,100,0,0.32995645806659013,,0.0136,110.966869389345,
hypergraph_not_selfdual_2025_09_29_18_45_30_9_1,3,10000,200,0,0.6294417920289561,,0.0123,234.21324230272495,
hypergraph_not_selfdual_2025_09_29_18_45_31_5_0,0,10000,5,0,0.004523291951045394,,0.3979,0.04105899122498582,
hypergraph_not_selfdual_2025_09_29_18_45_31_5_0,1,10000,20,0,0.010571375023573637,,0.6112,0.05153327593941507,
hypergraph_not_selfdual_2025_09_29_18_45_31_5_0,2,10000,100,0,0.04200754198245704,,0.6807,0.16945320836618252,
