,Example name,#reads,Annealing time $(\mu s)$,Annealing sampling time $(s)$,Success prob,TTS
68,hypergraph_not_selfdual_2025_09_29_18_46_57_8_0,10000,20,1.22055,0.9999,6.102749999999925e-05
69,hypergraph_not_selfdual_2025_09_29_18_45_37_8_0,10000,20,1.31995,0.0268,0.022376016561462996
70,hypergraph_not_selfdual_2025_09_29_18_46_20_9_1,10000,200,3.15135,0.0006,2.4180248131978406
71,hypergraph_not_selfdual_2025_09_29_18_45_45_7_0,10000,5,1.1509,0.0067,0.07884052493830598
72,hypergraph_not_selfdual_2025_09_29_18_46_26_7_1,10000,20,1.3078,0.0149,0.04011852770222292
73,hypergraph_not_selfdual_2025_09_29_18_45_46_7_1,10000,20,1.28195,0.0045,0.13089566310681916
74,hypergraph_not_selfdual_2025_09_29_18_46_43_6_0,10000,20,1.3183,0.0941,0.006143094014512827
75,hypergraph_not_selfdual_2025_09_29_18_45_43_6_0,10000,100,2.074,0.0386,0.024263152668490787
76,hypergraph_not_selfdual_2025_09_29_18_45_23_6_0,10000,20,1.26735,0.013,0.044602641117194516
77,hypergraph_not_selfdual_2025_09_29_18_45_48_8_1,10000,100,2.1286,0.0004,2.450151153529183
78,hypergraph_not_selfdual_2025_09_29_18_46_35_7_0,10000,5,1.0686,0.9998,5.7778246308964295e-05
79,hypergraph_not_selfdual_2025_09_29_18_46_50_9_1,10000,5,1.2391,0.001,0.5703412768509
80,hypergraph_not_selfdual_2025_09_29_18_46_36_7_1,10000,100,2.07525,0.0141,0.06730031183390192
81,hypergraph_not_selfdual_2025_09_29_18_46_45_7_0,10000,200,3.13135,0.0143,0.10011920486432309
82,hypergraph_not_selfdual_2025_09_29_18_46_17_8_0,10000,100,2.10305,0.0052,0.1857634717535369
83,hypergraph_not_selfdual_2025_09_29_18_46_49_9_0,10000,5,1.2107,0.0001,5.575200765552722
84,hypergraph_not_selfdual_2025_09_29_18_45_37_8_0,10000,100,2.1619,0.0159,0.06211670723774371
85,hypergraph_not_selfdual_2025_09_29_18_46_41_5_0,10000,200,2.9324,0.9998,0.00015855224543927276
86,hypergraph_not_selfdual_2025_09_29_18_46_49_9_0,10000,200,3.1746,0.0,inf
87,hypergraph_not_selfdual_2025_09_29_18_46_05_7_0,10000,100,2.06825,0.0141,0.06707330198793766
88,hypergraph_not_selfdual_2025_09_29_18_46_57_8_0,10000,200,2.96635,1.0,0.000296635
89,hypergraph_not_selfdual_2025_09_29_18_46_33_6_0,10000,5,1.133,0.0159,0.03255387820915104
90,hypergraph_not_selfdual_2025_09_29_18_45_37_8_0,10000,5,1.2043,0.0156,0.035273296445970194
91,hypergraph_not_selfdual_2025_09_29_18_45_29_9_0,10000,100,2.217,0.0007,1.4580126433555376
92,hypergraph_not_selfdual_2025_09_29_18_45_21_5_0,10000,100,2.01585,0.2026,0.004100432738072533
93,hypergraph_not_selfdual_2025_09_29_18_45_26_7_1,10000,5,1.1842,0.0077,0.0705509056064204
94,hypergraph_not_selfdual_2025_09_29_18_46_09_9_0,10000,100,2.234,0.0001,10.287435789415033
95,hypergraph_not_selfdual_2025_09_29_18_46_28_8_1,10000,200,3.1352,0.0081,0.1775256281547055
96,hypergraph_not_selfdual_2025_09_29_18_46_01_5_0,10000,100,2.02025,0.1795,0.004702552929672071
97,hypergraph_not_selfdual_2025_09_29_18_46_05_7_0,10000,20,1.31855,0.0101,0.059816147771986516
98,hypergraph_not_selfdual_2025_09_29_18_45_25_7_0,10000,100,2.13185,0.0161,0.06048625550488709
99,hypergraph_not_selfdual_2025_09_29_18_45_31_5_0,10000,5,1.07115,0.2389,0.0018069594422930114
100,hypergraph_not_selfdual_2025_09_29_18_45_56_7_1,10000,200,3.1125,0.0142,0.1002224022642722
101,hypergraph_not_selfdual_2025_09_29_18_46_47_8_0,10000,5,1.18425,0.0058,0.09375589325335464
102,hypergraph_not_selfdual_2025_09_29_18_46_23_6_0,10000,200,3.074,0.0404,0.034327650165397475
103,hypergraph_not_selfdual_2025_09_29_18_45_43_6_0,10000,5,1.14055,0.0429,0.011978878752101947
104,hypergraph_not_selfdual_2025_09_29_18_46_41_5_0,10000,5,0.97625,1.0,9.7625e-05
105,hypergraph_not_selfdual_2025_09_29_18_45_21_5_0,10000,20,1.1933,0.2063,0.0023784272555338547
106,hypergraph_not_selfdual_2025_09_29_18_46_41_5_0,10000,20,1.12755,0.9999,5.6377499999999316e-05
107,hypergraph_not_selfdual_2025_09_29_18_46_40_9_1,10000,20,1.3634,0.0053,0.1181516182867679
108,hypergraph_not_selfdual_2025_09_29_18_46_56_7_1,10000,5,1.1265,0.0063,0.0820851693742296
109,hypergraph_not_selfdual_2025_09_29_18_45_40_9_1,10000,100,2.2098,0.0,inf
110,hypergraph_not_selfdual_2025_09_29_18_45_35_7_0,10000,20,1.3034,0.0353,0.016701989486760323
111,hypergraph_not_selfdual_2025_09_29_18_46_55_7_0,10000,20,1.29915,0.0204,0.02902731661502208
112,hypergraph_not_selfdual_2025_09_29_18_45_57_8_0,10000,100,1.99635,0.9997,0.00011333628798178297
113,hypergraph_not_selfdual_2025_09_29_18_46_21_5_0,10000,200,3.0235,0.2006,0.006218899327917666
114,hypergraph_not_selfdual_2025_09_29_18_46_08_8_1,10000,100,2.1183,0.0056,0.1737105726842353
