,Example name,#reads,Annealing time $(\mu s)$,Annealing sampling time $(s)$,Success prob,TTS
495,hypergraph_not_selfdual_2026_02_26_08_13_16_11_2,15000,200,5.88986,0.0003333333333333333,5.423857357169325
496,hypergraph_not_selfdual_2026_02_26_08_12_43_10_2,15000,200,5.159200000000001,0.0007333333333333333,2.159116484296482
497,hypergraph_not_selfdual_2026_02_26_08_13_04_12_1,15000,20,3.8880199999999996,0.0005333333333333334,2.2375273371232542
498,hypergraph_not_selfdual_2026_02_26_08_12_54_10_1,15000,5,1.58486,0.9960666666666667,8.785598642376345e-05
499,hypergraph_not_selfdual_2026_02_26_08_12_42_10_1,15000,100,3.97296,0.0011333333333333334,1.0756345388458413
500,hypergraph_not_selfdual_2026_02_26_08_12_32_11_1,15000,100,4.4162,6.666666666666667e-05,20.33667465607773
501,hypergraph_not_selfdual_2026_02_26_08_12_13_10_2,15000,100,3.5621,0.001,1.0930582208972055
502,hypergraph_not_selfdual_2026_02_26_08_12_13_10_2,15000,5,2.4766999999999997,0.0013333333333333333,0.5699009779393798
503,hypergraph_not_selfdual_2026_02_26_08_12_24_10_1,15000,20,2.44696,0.0028,0.26792580313453274
504,hypergraph_not_selfdual_2026_02_26_08_13_13_10_2,15000,20,2.6317399999999997,0.0024666666666666665,0.3271528895369853
505,hypergraph_not_selfdual_2026_02_26_08_13_09_11_2,15000,20,3.026,0.0015333333333333334,0.6054155896786222
506,hypergraph_not_selfdual_2026_02_26_08_12_14_11_1,15000,100,4.319380000000001,0.00013333333333333334,9.94507693490904
507,hypergraph_not_selfdual_2026_02_26_08_12_58_12_1,15000,20,3.77374,0.0002,5.792325669414668
508,hypergraph_not_selfdual_2026_02_26_08_12_57_11_2,15000,200,6.05088,0.0007333333333333333,2.532283057935319
509,hypergraph_not_selfdual_2026_02_26_08_12_24_10_1,15000,5,2.3307,0.0054,0.13215140951310614
510,hypergraph_not_selfdual_2026_02_26_08_12_36_10_1,15000,100,4.22474,0.0002666666666666667,4.863263122504957
511,hypergraph_not_selfdual_2026_02_26_08_12_06_10_1,15000,200,5.366580000000001,0.0026,0.6328685143046419
512,hypergraph_not_selfdual_2026_02_26_08_12_39_11_2,15000,5,3.03048,0.0009333333333333333,0.9963830278189764
513,hypergraph_not_selfdual_2026_02_26_08_13_15_11_1,15000,100,4.58144,6.666666666666667e-05,21.097607612051256
514,hypergraph_not_selfdual_2026_02_26_08_12_51_11_2,15000,100,4.483140000000001,6.666666666666667e-05,20.64493447254389
515,hypergraph_not_selfdual_2026_02_26_08_12_15_11_2,15000,200,5.82804,0.0,inf
516,hypergraph_not_selfdual_2026_02_26_08_13_26_10_2,15000,5,2.5349999999999993,0.00046666666666666666,1.6673403216290312
517,hypergraph_not_selfdual_2026_02_26_08_11_58_12_1,15000,20,3.88066,0.00013333333333333334,8.934954150416058
518,hypergraph_not_selfdual_2026_02_26_08_13_10_12_1,15000,20,3.8152,0.0002,5.855962756827666
519,hypergraph_not_selfdual_2026_02_26_08_13_03_11_2,15000,20,3.1575200000000003,0.0002666666666666667,3.634744522638519
520,hypergraph_not_selfdual_2026_02_26_08_12_04_12_1,15000,100,2.7631799999999997,0.9971333333333333,0.0001448991960177172
521,hypergraph_not_selfdual_2026_02_26_08_12_01_10_2,15000,200,5.159999999999999,0.0024,0.6592819868364908
522,hypergraph_not_selfdual_2026_02_26_08_12_56_11_1,15000,100,4.33392,0.0,inf
523,hypergraph_not_selfdual_2026_02_26_08_13_20_10_2,15000,20,2.5327,0.0007333333333333333,1.0599306713788377
524,hypergraph_not_selfdual_2026_02_26_08_12_12_10_1,15000,200,5.40232,0.0006666666666666666,2.487030920976238
525,hypergraph_not_selfdual_2026_02_26_08_11_56_11_1,15000,100,4.3002400000000005,0.0,inf
526,hypergraph_not_selfdual_2026_02_26_08_13_13_10_2,15000,100,4.13978,0.0052,0.2437792428760949
527,hypergraph_not_selfdual_2026_02_26_08_13_07_10_2,15000,5,2.0770399999999998,0.0003333333333333333,1.9127056814822383
528,hypergraph_not_selfdual_2026_02_26_08_12_14_11_1,15000,20,3.13068,0.003,0.3199039421630305
529,hypergraph_not_selfdual_2026_02_26_08_13_17_12_1,15000,5,3.58008,0.0007333333333333333,1.4982574319856081
530,hypergraph_not_selfdual_2026_02_26_08_12_22_12_1,15000,5,3.63106,0.0017333333333333333,0.6425828065105484
531,hypergraph_not_selfdual_2026_02_26_08_12_01_10_2,15000,100,3.78366,0.0003333333333333333,3.4842987996365435
532,hypergraph_not_selfdual_2026_02_26_08_11_55_10_2,15000,100,3.8392000000000004,0.0008,1.4727580305811685
533,hypergraph_not_selfdual_2026_02_26_08_13_01_10_2,15000,100,3.7310600000000003,0.0005333333333333334,2.1471979944668727
534,hypergraph_not_selfdual_2026_02_26_08_13_25_10_1,15000,20,2.65402,0.0018666666666666666,0.4361001009002056
535,hypergraph_not_selfdual_2026_02_26_08_12_58_12_1,15000,5,3.61792,0.0005333333333333334,2.082086744287572
536,hypergraph_not_selfdual_2026_02_26_08_12_58_12_1,15000,100,5.0361,0.0004,3.864576474142103
537,hypergraph_not_selfdual_2026_02_26_08_12_03_11_2,15000,5,2.97926,0.00046666666666666666,1.9595425351544415
538,hypergraph_not_selfdual_2026_02_26_08_12_10_12_1,15000,200,6.523539999999999,6.666666666666667e-05,30.041010503579837
539,hypergraph_not_selfdual_2026_02_26_08_12_33_11_2,15000,20,3.25782,0.0002,5.000438401249819
540,hypergraph_not_selfdual_2026_02_26_08_11_56_11_1,15000,20,3.2754200000000004,0.0,inf
